website_analyte,analyte_codes,category,total_count,below_detection_count,above_detection_count,within_detection_count,percent_below_det,percent_above_det,percent_within_det
Zr-carb (ppm),Zr-carb,carbonate_proxy,313,293,0,20,93.61,0,6.39
δ114Cd-carb (‰),DELTA_Cd114_CARB,metal_isotope,13,0,0,13,0,0,100
Δ13C (‰),CAP_DELTA_C13,carbonate_proxy,1151,0,0,1151,0,0,100
δ13C-carb (‰),DELTA_C13_CARB,carbonate_proxy,11700,0,0,11700,0,0,100
δ13C-org (‰),DELTA_C13_ORG,carbon,12310,0,0,12310,0,0,100
δ15N (‰),DELTA_N15,nitrogen_phosphorous,2946,0,0,2946,0,0,100
δ15N-ker (‰),DELTA_N15_KER,nitrogen_phosphorous,403,0,0,403,0,0,100
δ18O-carb (‰),DELTA_O18_CARB,carbonate_proxy,10754,0,0,10754,0,0,100
δ238U (‰),DELTA_U238,metal_isotope,400,0,0,400,0,0,100
δ238U-auth (‰),DELTA_U238_AUTH,metal_isotope,169,0,0,169,0,0,100
δ238U-carb (‰),DELTA_U238_CARB,metal_isotope,972,0,0,972,0,0,100
δ26Mg-carb (‰),DELTA_Mg26_CARB,metal_isotope,484,0,0,484,0,0,100
δ34S-bulk (‰),DELTA_S34,iron_sulfur,885,0,0,885,0,0,100
δ34S-cas (‰),DELTA_S34_CAS,iron_sulfur,518,0,0,518,0,0,100
δ34S-gyp (‰),DELTA_S34_GYP,iron_sulfur,4,0,0,4,0,0,100
δ34S-obs (‰),DELTA_S34_OBS,iron_sulfur,66,0,0,66,0,0,100
δ34S-py (‰),DELTA_S34_PY,iron_sulfur,7438,35,0,7403,0.47,0,99.53
δ44/40Ca-carb (‰),DELTA_Ca44_Ca40_CARB,metal_isotope,632,0,0,632,0,0,100
δ51V-auth (‰),DELTA_V51_AUTH,metal_isotope,18,0,0,18,0,0,100
δ53Cr (‰),DELTA_Cr53,metal_isotope,122,0,0,122,0,0,100
δ53Cr-auth (‰),DELTA_Cr53_AUTH,metal_isotope,18,0,0,18,0,0,100
δ53Cr-carb (‰),DELTA_Cr53_CARB,metal_isotope,76,0,0,76,0,0,100
δ56Fe (‰),DELTA_Fe56,metal_isotope,623,0,0,623,0,0,100
δ56Fe-auth (‰),DELTA_Fe56_AUTH,metal_isotope,121,0,0,121,0,0,100
δ56Fe-py (‰),DELTA_Fe56_PY,metal_isotope,37,0,0,37,0,0,100
δ65Cu (‰),DELTA_Cu65,metal_isotope,26,0,0,26,0,0,100
δ66Zn (‰),DELTA_Zn66,metal_isotope,26,0,0,26,0,0,100
δ7Li (‰),DELTA_Li7,metal_isotope,127,0,0,127,0,0,100
