"lith_name","lith_texture","lith_comp","color","verbatim_lith"
"arkose",NULL,NULL,NULL,"arkose;SV2-5 ARKOSE;  ferruginous; arkosic;"
"arkose",NULL,NULL,NULL,"arkose;URANIFEROUS ARKOSE CONTAINING AZURITE, MALACHITE AND CHALCOPYRITE;  carbonaceous (organic); ferruginous;"
"arkose",NULL,NULL,NULL,"arkose;URANIFEROUS ARKOSE CONTAINING CHALCOPYRITE;  carbonaceous (organic); calcareous;"
"arkose",NULL,NULL,NULL,"arkose;WD1-4 ARKOSE;  ferruginous; arkosic;"
"arkose",NULL,NULL,NULL,"arkose;xcoord=340290; ycoord=321500"
"ash",NULL,NULL,NULL,"ASH;NULL"
"ash",NULL,NULL,NULL,"ash;AIR-FALL ASH;  tuffaceous;"
"ash",NULL,NULL,NULL,"ash;ASH, VOLCANIC;  tuffaceous; zeolitic;"
"ash",NULL,NULL,NULL,"ash;ASH;  tuffaceous; massive;"
"ash",NULL,NULL,NULL,"ash;SHALEY ASH"
"ash",NULL,NULL,NULL,"ash;WHITE, MASSIVE FINE ASH;  tuffaceous; massive;"
"bentonite",NULL,NULL,NULL,"BENTONITE;NULL"
"bentonite",NULL,NULL,NULL,"bentonite;calcareous; micaceous;; bentonite with biotite.  293-298 ft in Simpson cor;"
"bentonite",NULL,NULL,NULL,"bentonite;calcareous; micaceous;; bentonite with biotite.  309' in Simpson core test;"
"bentonite",NULL,NULL,NULL,"bentonite;calcareous; micaceous;; bentonite with biotite.  507-508 in Umiat test wel;"
"breccia",NULL,NULL,NULL,"BRECCIA;NULL"
"breccia",NULL,NULL,NULL,"breccia;BLACK BRECCIA OF SILTSTONE"
"breccia",NULL,NULL,NULL,"breccia;BRECCIA;  FOSSIL LIMESTONE CLASTS - CLAST;"
"breccia",NULL,NULL,NULL,"breccia;BRECCIA; CLAST & MTX OF V F G-SLTY SS, CLA;  silty;"
"breccia",NULL,NULL,NULL,"breccia;BRECCIA; CLASTS OF MIC LS, SS, DISS PYRITE;  clayey; bioclastic;"
"breccia",NULL,NULL,NULL,"breccia;BRECCIA; SDY LS CLASTS WKLY FOSS, V F BLUI;  sandy;"
"breccia",NULL,NULL,NULL,"breccia;CALCITE CEMENTED LIMESTONE BRECCIA;"
"breccia",NULL,NULL,NULL,"breccia;CALCITE VEINED LIMESTONE BRECCIA;"
"breccia",NULL,NULL,NULL,"breccia;CARBONATE VEINED LIMESTONE BRECCIA;"
"breccia",NULL,NULL,NULL,"breccia;FE STAINED CARBONATE CEMENTED LIMESTONE BRECCIA;"
"breccia",NULL,NULL,NULL,"breccia;LIMESTONE & DOLOMITE BRECCIA"
"breccia",NULL,NULL,NULL,"breccia;LIMESTONE BRECCIA"
"breccia",NULL,NULL,NULL,"breccia;LIMESTONE BRECCIA FROM NON MINERALIZED AREA"
"breccia",NULL,NULL,NULL,"breccia;LIMESTONE BRECCIA.  CARBONATE RK."
"breccia",NULL,NULL,NULL,"breccia;MINERALIZED, LIMESTONE CHERT BRECCIA"
"breccia",NULL,NULL,NULL,"breccia;NULL"
"breccia",NULL,NULL,NULL,"breccia;SILICIFIED LIMESTONE BRECCIA;"
"breccia",NULL,NULL,NULL,"breccia;breccia w cc;"
"breccia",NULL,NULL,NULL,"breccia;breccia;"
"breccia",NULL,NULL,NULL,"breccia;breccia; pb-ag-Cu mnrlzd?;"
"breccia",NULL,NULL,NULL,"breccia;quartz galena breccia;"
"breccia",NULL,NULL,NULL,"breccia;sandstone breccia with sphalerite;"
"breccia",NULL,NULL,NULL,"breccia;xcoord=332670; ycoord=319680"
"carbonate",NULL,NULL,NULL,"CARBONATE;NULL"
"carbonate",NULL,NULL,NULL,"carbonate;Carbonate"
"carbonate",NULL,NULL,NULL,"carbonate;NULL"
"carbonate",NULL,NULL,NULL,"carbonate;SHALEY CARBONATE"
"carbonate",NULL,NULL,NULL,"carbonate;Silty limestone; laminated; silty;"
"carbonate",NULL,NULL,NULL,"carbonate;coarse carbonate;"
"chert",NULL,NULL,NULL,"CHERT;NULL"
"chert",NULL,NULL,NULL,"chert, flint;NULL"
"chert",NULL,NULL,NULL,"chert;CHERT + MUDSTONE"
"chert",NULL,NULL,NULL,"chert;CHERT CLASTS IN DOLOMITE MATRIX"
"chert",NULL,NULL,NULL,"chert;CHERT OR CHERTY MUDSTONE;  cherty;"
"chert",NULL,NULL,NULL,"chert;Chert"
"chert",NULL,NULL,NULL,"chert;Chert and calcareous mudstone, original sample  RWS-93-47"
"chert",NULL,NULL,NULL,"chert;Chert and calcareous sandstone, original sample RWS-107-47"
"chert",NULL,NULL,NULL,"chert;Chert and mudstone, original sample RWS-90-47"
"chert",NULL,NULL,NULL,"chert;Chert and mudstone, original sample RWS-91-47"
"chert",NULL,NULL,NULL,"chert;Chert and mudstone, original sample RWS-92-47"
"chert",NULL,NULL,NULL,"chert;Chert and mudstone, original sample RWS-95-47"
"chert",NULL,NULL,NULL,"chert;Chert and mudstone, original sample RWS-98-47"
"chert",NULL,NULL,NULL,"chert;Chert and mudstone, original sample RWS-99-47"
